product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,id
prod_1,toys,80,760,1,9901,98,21,16,toys,prod_1
prod_2,toys,72,765,3,8086,16,45,47,toys,prod_2
prod_3,books,78,939,7,4799,14,31,9,books,prod_3
prod_4,furniture,27,981,2,7334,13,11,30,furniture,prod_4
prod_5,toys,29,663,9,3779,58,33,6,toys,prod_5
prod_6,furniture,79,917,7,9365,21,12,33,furniture,prod_6
prod_7,furniture,23,178,2,2412,35,11,18,furniture,prod_7
prod_8,books,22,962,8,5391,74,45,10,books,prod_8
prod_9,furniture,57,431,6,3685,27,47,16,furniture,prod_9
prod_10,clothing,57,228,9,7682,45,36,21,clothing,prod_10
prod_11,books,56,374,7,4098,77,7,45,books,prod_11
prod_12,furniture,24,418,2,5146,53,31,46,furniture,prod_12
prod_13,furniture,32,386,4,6151,73,47,20,furniture,prod_13
prod_14,furniture,78,660,3,7961,23,45,8,furniture,prod_14
prod_15,clothing,12,126,6,9573,90,35,36,clothing,prod_15
prod_16,toys,69,367,3,3147,68,36,9,toys,prod_16
prod_17,electronics,79,944,1,6230,53,28,38,electronics,prod_17
prod_18,furniture,52,808,1,1307,73,27,22,furniture,prod_18
prod_19,electronics,47,240,2,6354,65,26,25,electronics,prod_19
prod_20,electronics,36,192,3,8415,19,5,24,electronics,prod_20
prod_21,electronics,44,334,2,8117,10,17,40,electronics,prod_21
prod_22,clothing,20,134,5,3962,81,7,31,clothing,prod_22
prod_23,books,24,545,1,1508,19,47,43,books,prod_23
prod_24,clothing,57,524,6,2384,33,23,35,clothing,prod_24
prod_25,clothing,13,895,9,6935,87,29,22,clothing,prod_25
prod_26,clothing,97,281,2,4729,93,45,16,clothing,prod_26
prod_27,electronics,97,688,8,6651,96,5,34,electronics,prod_27
prod_28,furniture,56,140,2,5856,44,6,32,furniture,prod_28
prod_29,clothing,54,721,7,7522,24,44,29,clothing,prod_29
prod_30,books,51,744,1,1748,60,11,27,books,prod_30
prod_31,books,32,627,2,5941,78,5,48,books,prod_31
prod_32,furniture,18,464,7,5082,53,39,27,furniture,prod_32
prod_33,books,52,543,3,5484,10,14,11,books,prod_33
prod_34,books,48,912,6,6138,99,47,30,books,prod_34
prod_35,electronics,11,830,6,9742,40,12,15,electronics,prod_35
prod_36,clothing,46,973,3,2778,28,45,13,clothing,prod_36
prod_37,toys,71,278,9,1989,80,36,46,toys,prod_37
prod_38,furniture,61,626,7,7917,94,43,31,furniture,prod_38
prod_39,toys,59,339,6,1498,60,10,18,toys,prod_39
prod_40,electronics,99,618,6,4743,86,8,49,electronics,prod_40
prod_41,books,24,839,9,5271,10,20,7,books,prod_41
prod_42,toys,29,372,9,2226,96,6,38,toys,prod_42
prod_43,furniture,46,414,6,4299,69,45,14,furniture,prod_43
prod_44,furniture,78,963,5,3384,62,33,17,furniture,prod_44
prod_45,books,67,126,2,9381,94,41,12,books,prod_45
prod_46,furniture,99,580,3,9437,39,12,17,furniture,prod_46
prod_47,toys,48,677,6,4773,19,47,34,toys,prod_47
prod_48,furniture,85,952,4,8754,38,30,37,furniture,prod_48
prod_49,clothing,56,536,9,1316,45,41,15,clothing,prod_49
prod_50,toys,96,920,3,3509,25,13,28,toys,prod_50
prod_51,books,45,873,7,876,70,49,30,books,prod_51
prod_52,furniture,24,973,9,8409,57,43,17,furniture,prod_52
prod_53,furniture,53,628,4,4088,22,20,18,furniture,prod_53
prod_54,toys,72,383,9,9918,13,44,9,toys,prod_54
prod_55,books,99,647,9,2634,15,7,29,books,prod_55
prod_56,books,83,140,5,7041,62,9,48,books,prod_56
prod_57,furniture,21,443,7,406,12,27,32,furniture,prod_57
prod_58,toys,27,181,7,5084,75,18,8,toys,prod_58
prod_59,electronics,82,404,7,763,74,41,24,electronics,prod_59
prod_60,toys,59,890,5,1251,58,31,7,toys,prod_60
prod_61,books,56,252,1,3074,69,47,44,books,prod_61
prod_62,clothing,51,239,1,6341,57,42,43,clothing,prod_62
prod_63,books,84,885,1,7077,75,38,21,books,prod_63
prod_64,clothing,28,987,2,8627,24,23,10,clothing,prod_64
prod_65,toys,81,946,6,3021,48,17,49,toys,prod_65
prod_66,toys,92,540,5,6446,27,29,8,toys,prod_66
prod_67,furniture,72,273,1,3512,81,18,40,furniture,prod_67
prod_68,furniture,21,260,6,8419,87,46,5,furniture,prod_68
prod_69,electronics,85,863,8,935,43,47,35,electronics,prod_69
prod_70,books,81,149,4,8556,23,37,15,books,prod_70
prod_71,clothing,90,575,3,6830,12,14,46,clothing,prod_71
prod_72,electronics,99,922,5,7899,97,49,33,electronics,prod_72
prod_73,electronics,11,119,4,4157,44,35,8,electronics,prod_73
prod_74,electronics,82,419,3,3577,90,8,29,electronics,prod_74
prod_75,electronics,20,242,8,8441,32,40,23,electronics,prod_75
prod_76,clothing,94,789,7,1835,97,44,39,clothing,prod_76
prod_77,toys,27,412,6,7332,17,42,12,toys,prod_77
prod_78,books,58,892,9,5891,42,25,5,books,prod_78
prod_79,furniture,46,365,2,7889,56,12,12,furniture,prod_79
prod_80,books,86,942,1,155,65,5,32,books,prod_80
prod_81,books,41,280,3,577,78,36,47,books,prod_81
prod_82,furniture,46,883,7,8142,51,35,46,furniture,prod_82
prod_83,furniture,28,247,1,5560,48,30,47,furniture,prod_83
prod_84,furniture,10,290,8,308,34,29,22,furniture,prod_84
prod_85,furniture,34,445,6,8693,62,19,16,furniture,prod_85
prod_86,books,14,606,6,3912,32,10,42,books,prod_86
prod_87,toys,13,198,1,8405,38,41,27,toys,prod_87
prod_88,furniture,61,198,2,4740,81,42,43,furniture,prod_88
prod_89,toys,57,778,4,3605,58,36,41,toys,prod_89
prod_90,books,74,296,8,9916,89,43,20,books,prod_90
prod_91,books,70,979,8,3190,86,20,32,books,prod_91
prod_92,furniture,14,405,8,3411,10,41,43,furniture,prod_92
prod_93,furniture,56,599,8,1308,66,7,35,furniture,prod_93
prod_94,clothing,45,881,8,9218,13,46,31,clothing,prod_94
prod_95,toys,59,251,6,8835,23,18,5,toys,prod_95
prod_96,furniture,50,128,2,2593,82,13,8,furniture,prod_96
prod_97,furniture,14,751,4,1207,38,16,10,furniture,prod_97
prod_98,electronics,73,412,1,9815,28,37,6,electronics,prod_98
prod_99,electronics,90,674,7,1294,62,39,32,electronics,prod_99
prod_100,clothing,19,332,3,3795,91,21,37,clothing,prod_100
prod_101,clothing,34,941,2,2958,43,8,43,clothing,prod_101
prod_102,clothing,16,937,6,7795,66,19,45,clothing,prod_102
prod_103,electronics,60,938,6,5972,77,28,48,electronics,prod_103
prod_104,clothing,49,990,8,4448,16,18,24,clothing,prod_104
prod_105,books,32,726,5,2647,28,24,24,books,prod_105
prod_106,electronics,34,502,5,5345,33,34,43,electronics,prod_106
prod_107,books,68,670,2,3892,12,41,32,books,prod_107
prod_108,furniture,43,396,7,3088,72,8,24,furniture,prod_108
prod_109,toys,97,587,4,5283,16,47,11,toys,prod_109
prod_110,furniture,53,893,7,4103,83,8,34,furniture,prod_110
prod_111,electronics,29,339,8,3980,57,7,6,electronics,prod_111
prod_112,books,21,256,8,6303,57,16,22,books,prod_112
prod_113,clothing,93,749,1,2788,32,45,38,clothing,prod_113
prod_114,toys,93,729,1,8527,86,46,42,toys,prod_114
prod_115,toys,70,745,3,6269,89,18,47,toys,prod_115
prod_116,clothing,98,350,8,5365,87,35,5,clothing,prod_116
prod_117,furniture,63,703,1,369,11,18,7,furniture,prod_117
prod_118,books,22,669,4,1583,52,5,35,books,prod_118
prod_119,electronics,23,898,9,8451,67,38,44,electronics,prod_119
prod_120,clothing,51,509,5,2912,47,14,21,clothing,prod_120
prod_121,books,74,654,1,157,11,48,10,books,prod_121
prod_122,clothing,56,133,4,214,72,27,27,clothing,prod_122
prod_123,books,39,565,3,8924,19,34,29,books,prod_123
prod_124,furniture,32,325,5,5598,33,31,15,furniture,prod_124
prod_125,books,87,765,8,8693,11,6,39,books,prod_125
prod_126,books,81,884,8,3423,69,7,32,books,prod_126
prod_127,books,61,983,7,8266,48,24,31,books,prod_127
prod_128,toys,87,817,1,8156,62,28,38,toys,prod_128
prod_129,furniture,33,405,8,1536,79,5,45,furniture,prod_129
prod_130,electronics,80,596,1,7722,31,7,20,electronics,prod_130
prod_131,electronics,83,581,8,7807,83,40,48,electronics,prod_131
prod_132,books,32,356,8,8388,11,32,14,books,prod_132
prod_133,clothing,25,952,9,1013,57,15,5,clothing,prod_133
prod_134,furniture,83,501,5,655,97,47,37,furniture,prod_134
prod_135,electronics,76,595,8,1180,20,40,39,electronics,prod_135
prod_136,toys,39,538,4,9495,99,14,12,toys,prod_136
prod_137,books,38,653,5,2777,85,6,39,books,prod_137
prod_138,books,86,242,9,7715,67,43,10,books,prod_138
prod_139,clothing,56,374,4,4472,85,20,36,clothing,prod_139
prod_140,electronics,32,826,1,4537,67,39,43,electronics,prod_140
prod_141,furniture,72,141,7,3053,70,40,28,furniture,prod_141
prod_142,furniture,89,578,6,8656,65,15,42,furniture,prod_142
prod_143,furniture,75,796,1,6913,15,35,19,furniture,prod_143
prod_144,clothing,87,653,7,4399,74,13,47,clothing,prod_144
prod_145,electronics,78,966,1,7838,36,6,46,electronics,prod_145
prod_146,electronics,74,394,2,6831,77,42,48,electronics,prod_146
prod_147,clothing,27,381,9,8626,61,37,10,clothing,prod_147
prod_148,electronics,33,938,9,6531,25,20,49,electronics,prod_148
prod_149,clothing,85,312,5,3319,32,47,19,clothing,prod_149
prod_150,electronics,72,257,6,1868,73,33,9,electronics,prod_150
